game_date,game_loc,away_team,away_team_score,home_team,home_team_score,total_score,max_temp_C,min_temp_C,precipitation_mm,max_wind_speed_kmh,dominant_wind_dir_deg
2021-04-01,Angel Stadium of Anaheim,Chicago White Sox,3,Los Angeles Angels,4,7,14.6,10.3,0.6,22.3,60.0
2021-04-01,Wrigley Field,Pittsburgh Pirates,5,Chicago Cubs,3,8,7.4,-1.9,6.2,15.4,41.0
2021-04-01,Great American Ball Park,St. Louis Cardinals,11,Cincinnati Reds,6,17,12.4,2.2,0.0,27.8,84.0
2021-04-01,Coors Field,Los Angeles Dodgers,5,Colorado Rockies,8,13,10.4,1.1,0.6,21.2,325.0
2021-04-01,Comerica Park,Cleveland Indians,2,Detroit Tigers,3,5,-7.9,-12.7,3.3,10.2,83.0
2021-04-01,Kauffman Stadium,Texas Rangers,10,Kansas City Royals,14,24,2.8,-7.2,0.0,34.2,19.0
2021-04-01,loanDepot park,Tampa Bay Rays,1,Miami Marlins,0,1,36.3,21.6,0.0,22.1,300.0
2021-04-01,American Family Field,Minnesota Twins,5,Milwaukee Brewers,6,11,10.0,1.1,0.0,27.9,337.0
2021-04-01,Yankee Stadium III,Toronto Blue Jays,3,New York Yankees,2,5,-5.1,-11.4,21.9,16.6,206.0
2021-04-01,RingCentral Coliseum,Houston Astros,8,Oakland Athletics,1,9,8.8,7.5,0.0,25.6,94.0
2021-04-01,Citizens Bank Park,Atlanta Braves,2,Philadelphia Phillies,3,5,-8.9,-19.0,0.0,12.3,354.0
2021-04-01,Petco Park,Arizona Diamondbacks,7,San Diego Padres,8,15,14.8,11.4,3.9,17.7,45.0
2021-04-01,T-Mobile Park,San Francisco Giants,7,Seattle Mariners,8,15,13.9,-0.3,0.0,12.6,209.0
2021-04-02,Angel Stadium of Anaheim,Chicago White Sox,12,Los Angeles Angels,8,20,13.2,10.5,5.3,14.3,30.0
2021-04-02,Fenway Park,Baltimore Orioles,3,Boston Red Sox,0,3,-9.6,-18.2,0.0,8.1,197.0
2021-04-02,Coors Field,Los Angeles Dodgers,11,Colorado Rockies,6,17,8.2,2.7,0.1,22.8,29.0
2021-04-02,loanDepot park,Tampa Bay Rays,6,Miami Marlins,4,10,35.8,18.3,0.0,11.2,327.0
2021-04-02,RingCentral Coliseum,Houston Astros,9,Oakland Athletics,5,14,9.1,7.9,5.7,26.4,92.0
2021-04-02,Petco Park,Arizona Diamondbacks,2,San Diego Padres,4,6,15.8,11.2,1.7,11.3,358.0
2021-04-02,T-Mobile Park,San Francisco Giants,6,Seattle Mariners,3,9,10.9,0.0,0.8,27.2,286.0
2021-04-03,Angel Stadium of Anaheim,Chicago White Sox,3,Los Angeles Angels,5,8,13.1,8.0,2.0,21.0,3.0
2021-04-03,Fenway Park,Baltimore Orioles,4,Boston Red Sox,2,6,-6.2,-15.4,0.0,11.3,198.0
2021-04-03,Wrigley Field,Pittsburgh Pirates,1,Chicago Cubs,5,6,10.6,0.4,0.0,20.5,80.0
2021-04-03,Great American Ball Park,St. Louis Cardinals,6,Cincinnati Reds,9,15,15.2,4.1,0.0,21.0,56.0
2021-04-03,Coors Field,Los Angeles Dodgers,6,Colorado Rockies,5,11,8.8,0.5,0.0,33.9,69.0
2021-04-03,Comerica Park,Cleveland Indians,2,Detroit Tigers,5,7,-7.8,-10.3,13.3,13.7,109.0
2021-04-03,Kauffman Stadium,Texas Rangers,4,Kansas City Royals,11,15,6.0,-4.3,0.0,44.3,23.0
2021-04-03,loanDepot park,Tampa Bay Rays,7,Miami Marlins,12,19,35.5,19.5,0.0,10.2,30.0
2021-04-03,American Family Field,Minnesota Twins,2,Milwaukee Brewers,0,2,13.3,3.0,0.0,29.2,351.0
2021-04-03,Yankee Stadium III,Toronto Blue Jays,3,New York Yankees,5,8,4.5,-12.9,0.0,7.9,152.0
2021-04-03,RingCentral Coliseum,Houston Astros,9,Oakland Athletics,1,10,9.1,6.7,22.2,43.6,10.0
2021-04-03,Citizens Bank Park,Atlanta Braves,0,Philadelphia Phillies,4,4,-4.4,-14.9,0.0,5.7,303.0
2021-04-03,Petco Park,Arizona Diamondbacks,0,San Diego Padres,7,7,15.0,9.9,2.6,17.7,348.0
2021-04-03,T-Mobile Park,San Francisco Giants,0,Seattle Mariners,4,4,7.0,-3.7,0.0,19.1,309.0
2021-04-04,Angel Stadium of Anaheim,Chicago White Sox,4,Los Angeles Angels,7,11,15.9,4.9,0.0,19.8,13.0
2021-04-04,Fenway Park,Baltimore Orioles,11,Boston Red Sox,3,14,-3.1,-13.3,5.4,11.9,194.0
2021-04-04,Wrigley Field,Pittsburgh Pirates,3,Chicago Cubs,4,7,11.0,1.8,0.0,24.4,76.0
2021-04-04,Great American Ball Park,St. Louis Cardinals,1,Cincinnati Reds,12,13,17.4,3.8,0.0,20.3,33.0
2021-04-04,Coors Field,Los Angeles Dodgers,4,Colorado Rockies,2,6,11.8,0.6,0.0,29.1,65.0
2021-04-04,Comerica Park,Cleveland Indians,9,Detroit Tigers,3,12,-7.5,-13.0,4.1,9.4,29.0
2021-04-04,Kauffman Stadium,Texas Rangers,7,Kansas City Royals,3,10,5.2,-5.2,0.6,31.8,242.0
2021-04-04,American Family Field,Minnesota Twins,8,Milwaukee Brewers,2,10,12.3,5.8,0.0,21.1,45.0
2021-04-04,Yankee Stadium III,Toronto Blue Jays,3,New York Yankees,1,4,8.2,-7.0,7.6,7.9,128.0
2021-04-04,RingCentral Coliseum,Houston Astros,9,Oakland Athletics,2,11,8.5,6.9,0.0,43.0,343.0
2021-04-04,Citizens Bank Park,Atlanta Braves,1,Philadelphia Phillies,2,3,-1.4,-7.8,1.1,5.7,318.0
2021-04-04,Petco Park,Arizona Diamondbacks,3,San Diego Padres,1,4,15.6,6.6,0.0,19.7,29.0
2021-04-05,Angel Stadium of Anaheim,Houston Astros,6,Los Angeles Angels,7,13,16.2,3.6,0.0,16.1,113.0
2021-04-05,Fenway Park,Tampa Bay Rays,2,Boston Red Sox,11,13,-6.8,-10.4,0.7,14.8,184.0
2021-04-05,Wrigley Field,Milwaukee Brewers,3,Chicago Cubs,5,8,12.0,1.2,0.0,15.7,41.0
2021-04-05,Great American Ball Park,Pittsburgh Pirates,3,Cincinnati Reds,5,8,17.4,7.5,0.0,15.8,55.0
2021-04-05,Progressive Field,Kansas City Royals,3,Cleveland Indians,0,3,9.5,-3.5,0.0,13.7,4.0
2021-04-05,Comerica Park,Minnesota Twins,15,Detroit Tigers,6,21,-3.6,-12.4,0.0,10.5,358.0
2021-04-05,loanDepot park,St. Louis Cardinals,4,Miami Marlins,1,5,38.8,20.2,0.0,10.8,146.0
2021-04-05,Yankee Stadium III,Baltimore Orioles,0,New York Yankees,7,7,0.0,-4.3,7.1,6.2,223.0
2021-04-05,RingCentral Coliseum,Los Angeles Dodgers,10,Oakland Athletics,3,13,9.3,6.8,0.0,21.9,260.0
2021-04-05,Citizens Bank Park,New York Mets,3,Philadelphia Phillies,5,8,-1.6,-11.4,0.8,11.9,351.0
2021-04-05,Petco Park,San Francisco Giants,3,San Diego Padres,2,5,17.1,7.9,0.0,10.9,134.0
2021-04-05,T-Mobile Park,Chicago White Sox,6,Seattle Mariners,0,6,10.9,-1.8,0.0,23.3,291.0
2021-04-05,Globe Life Field,Toronto Blue Jays,6,Texas Rangers,2,8,-8.0,-20.7,0.0,16.5,198.0
2021-04-06,Angel Stadium of Anaheim,Houston Astros,4,Los Angeles Angels,2,6,18.7,5.1,0.0,9.8,114.0
2021-04-06,Fenway Park,Tampa Bay Rays,5,Boston Red Sox,6,11,-5.2,-13.0,0.0,8.2,202.0
2021-04-06,Wrigley Field,Milwaukee Brewers,4,Chicago Cubs,0,4,14.3,4.1,0.0,19.8,82.0
2021-04-06,Great American Ball Park,Pittsburgh Pirates,1,Cincinnati Reds,14,15,19.5,9.2,0.0,28.8,78.0
2021-04-06,Coors Field,Arizona Diamondbacks,10,Colorado Rockies,8,18,10.5,2.9,2.6,21.5,74.0
2021-04-06,Comerica Park,Minnesota Twins,3,Detroit Tigers,4,7,-3.1,-6.4,0.0,7.2,10.0
2021-04-06,loanDepot park,St. Louis Cardinals,4,Miami Marlins,2,6,40.3,21.7,0.0,14.1,83.0
2021-04-06,Yankee Stadium III,Baltimore Orioles,2,New York Yankees,7,9,2.2,-6.2,1.4,6.5,114.0
2021-04-06,RingCentral Coliseum,Los Angeles Dodgers,5,Oakland Athletics,1,6,9.4,7.7,0.0,22.1,275.0
2021-04-06,Citizens Bank Park,New York Mets,8,Philadelphia Phillies,4,12,-5.6,-10.1,9.9,6.4,28.0
2021-04-06,Petco Park,San Francisco Giants,1,San Diego Padres,3,4,19.6,8.2,0.0,10.5,53.0
2021-04-06,T-Mobile Park,Chicago White Sox,10,Seattle Mariners,4,14,6.3,-4.7,0.0,24.9,312.0
2021-04-06,Globe Life Field,Toronto Blue Jays,4,Texas Rangers,7,11,-4.8,-16.2,0.0,13.2,195.0
2021-04-06,Nationals Park,Atlanta Braves,5,Washington Nationals,6,11,9.9,6.7,7.7,12.6,123.0
2021-04-07,Fenway Park,Tampa Bay Rays,2,Boston Red Sox,9,11,-4.0,-12.9,0.0,9.4,204.0
2021-04-07,Wrigley Field,Milwaukee Brewers,4,Chicago Cubs,2,6,16.3,5.8,0.0,27.6,77.0
2021-04-07,Great American Ball Park,Pittsburgh Pirates,4,Cincinnati Reds,11,15,19.3,9.1,0.0,29.1,48.0
2021-04-07,Progressive Field,Kansas City Royals,2,Cleveland Indians,4,6,11.7,1.6,0.0,12.6,352.0
2021-04-07,Coors Field,Arizona Diamondbacks,0,Colorado Rockies,8,8,12.7,2.4,0.0,23.5,74.0
2021-04-07,Comerica Park,Minnesota Twins,3,Detroit Tigers,2,5,-1.3,-5.0,0.0,6.5,3.0
2021-04-07,loanDepot park,St. Louis Cardinals,7,Miami Marlins,0,7,39.9,24.5,0.0,16.1,336.0
2021-04-07,Yankee Stadium III,Baltimore Orioles,4,New York Yankees,3,7,1.8,-3.1,2.4,5.8,191.0
2021-04-07,RingCentral Coliseum,Los Angeles Dodgers,3,Oakland Athletics,4,7,8.2,7.2,0.0,22.8,339.0
2021-04-07,Citizens Bank Park,New York Mets,2,Philadelphia Phillies,8,10,-5.4,-7.8,6.5,4.3,3.0
2021-04-07,Petco Park,San Francisco Giants,3,San Diego Padres,2,5,17.3,11.2,6.3,11.2,77.0
2021-04-07,T-Mobile Park,Chicago White Sox,4,Seattle Mariners,8,12,9.4,-5.2,0.0,27.3,314.0
2021-04-07,Globe Life Field,Toronto Blue Jays,1,Texas Rangers,2,3,-5.1,-10.2,0.2,8.9,229.0
