game_date,game_loc,away_team,away_team_score,home_team,home_team_score
"Thursday, April 7, 2022",Angel Stadium of Anaheim,Houston Astros,3,Los Angeles Angels,1
"Thursday, April 7, 2022",Chase Field,San Diego Padres,2,Arizona Diamondbacks,4
"Thursday, April 7, 2022",Truist Park,Cincinnati Reds,6,Atlanta Braves,3
"Thursday, April 7, 2022",Wrigley Field,Milwaukee Brewers,4,Chicago Cubs,5
"Thursday, April 7, 2022",Kauffman Stadium,Cleveland Guardians,1,Kansas City Royals,3
"Thursday, April 7, 2022",Busch Stadium III,Pittsburgh Pirates,0,St. Louis Cardinals,9
"Thursday, April 7, 2022",Nationals Park,New York Mets,5,Washington Nationals,1
"Friday, April 8, 2022",Angel Stadium of Anaheim,Houston Astros,13,Los Angeles Angels,6
"Friday, April 8, 2022",Chase Field,San Diego Padres,3,Arizona Diamondbacks,0
"Friday, April 8, 2022",Truist Park,Cincinnati Reds,6,Atlanta Braves,7
"Friday, April 8, 2022",Coors Field,Los Angeles Dodgers,5,Colorado Rockies,3
"Friday, April 8, 2022",Comerica Park,Chicago White Sox,4,Detroit Tigers,5
"Friday, April 8, 2022",Target Field,Seattle Mariners,2,Minnesota Twins,1
"Friday, April 8, 2022",Yankee Stadium III,Boston Red Sox,5,New York Yankees,6
"Friday, April 8, 2022",Citizens Bank Park,Oakland Athletics,5,Philadelphia Phillies,9
"Friday, April 8, 2022",Oracle Park,Miami Marlins,5,San Francisco Giants,6
"Friday, April 8, 2022",Tropicana Field,Baltimore Orioles,1,Tampa Bay Rays,2
"Friday, April 8, 2022",Rogers Centre,Texas Rangers,8,Toronto Blue Jays,10
"Friday, April 8, 2022",Nationals Park,New York Mets,7,Washington Nationals,3
"Saturday, April 9, 2022",Angel Stadium of Anaheim,Houston Astros,0,Los Angeles Angels,2
"Saturday, April 9, 2022",Chase Field,San Diego Padres,5,Arizona Diamondbacks,2
"Saturday, April 9, 2022",Truist Park,Cincinnati Reds,1,Atlanta Braves,2
"Saturday, April 9, 2022",Wrigley Field,Milwaukee Brewers,0,Chicago Cubs,9
"Saturday, April 9, 2022",Coors Field,Los Angeles Dodgers,2,Colorado Rockies,3
"Saturday, April 9, 2022",Comerica Park,Chicago White Sox,5,Detroit Tigers,2
"Saturday, April 9, 2022",Kauffman Stadium,Cleveland Guardians,0,Kansas City Royals,1
"Saturday, April 9, 2022",Target Field,Seattle Mariners,4,Minnesota Twins,3
"Saturday, April 9, 2022",Yankee Stadium III,Boston Red Sox,2,New York Yankees,4
"Saturday, April 9, 2022",Citizens Bank Park,Oakland Athletics,2,Philadelphia Phillies,4
"Saturday, April 9, 2022",Oracle Park,Miami Marlins,2,San Francisco Giants,1
"Saturday, April 9, 2022",Busch Stadium III,Pittsburgh Pirates,2,St. Louis Cardinals,6
"Saturday, April 9, 2022",Tropicana Field,Baltimore Orioles,3,Tampa Bay Rays,5
"Saturday, April 9, 2022",Rogers Centre,Texas Rangers,3,Toronto Blue Jays,4
"Saturday, April 9, 2022",Nationals Park,New York Mets,5,Washington Nationals,0
